Reference,Source Type,Genus,Species,Study site,Ecoregion,Sampling method,Activity categories,Home range method,Year,Latitude,Longitude,Altitude (m),Annual rainfall (mm),Max mean temp ,Min mean temp,Mean annual temp,Area (km2),Home range (ha),Density (ind/km2),Density (grps/km2),Groups,Individuals,Study length (month/hour),Hour,Plant species,Plant genera,Plant families,Unidentified species,Non-fig fruit (%),Fig (%),Fruit (%),Leaf (%),Flower (%),AO,Animal (%),Feeding (%),Moving (%),Resting (%),Singing (%),Social (%),Other (%),Tree density (/ha),Tree height (m),Mean DBH (cm),,,,,
Wahyuni & Nasution 2016,Article,Hylobates,H. moloch,"Kalipagu, Gunung Slamet, Central Java",,Line transect,,,2014,-7.298,109.22,767,5000,,,,170,,0.26,,,45,5,,8,,,,,,,,,,,,,,,,,,,,,,,,
Rahmuddin 2009,Masters,Hylobates,H. moloch,"Hutan Lindung Gunung Papandayan, Java",,,,,2008,-7.22,,1041,3895.5,,,,45.51,,,,,24,7,,29,18,15,1,,,,,,,,,,,,,,,,,,,,,
Prastyono 1999,Bachelors,Hylobates,H. moloch,"Ciawitali, Gunung Halimun Salak, Java",,,,,1999,-6.5,,875,5000,,,,,,,,1,4,2,48,23,19,16,1,,,,,,,,,,,,,,,,,,,,,
Suherman 2001,Bachelors,Hylobates,H. moloch,"Cibiuk/Reuma Jengkol, Ujung Kulon, West Java",Western Java rainforest,,,,2000,-6.47,,250,,,,,762.14,,,,,,2,,15,12,9,2,,,,,,,,,,,,,,,,,,,,,
Sutrisno 2001,Bachelors,Hylobates,H. moloch,"Cibiuk/Reuma Jengkol, Ujung Kulon, West Java",Western Java rainforest,,,,2000,-6.47,,250,3195,,,,762.14,,,,,,2,,121,84,43,,,,,,,,,,,,,,,,,,,,,,
Iskandar 2007,,Hylobates,H. moloch,"Cibeureum, Gunung Halimun Salak, Java",,,,,2004-2005,-6.47,,1118,,,,,,18.11,6.70,2.60,4,14,10,,15,11,8,,,,,,,,,,,,,,,,,,,,,,
Iskandar 2007,,Hylobates,H. moloch,"Citarik, Gunung Halimun Salak, Java",,,,,2004-2005,-6.47,,1191.5,,,,,,16.95,10.30,4.00,5,17,10,,23,15,12,,,,,,,,,,,,,,,,,,,,,,
Ario 2011a; Alhamd & Rahajoe 2013; Ario et al. 2011,,Hylobates,H. moloch,"Patiwel, Gunung Gede Pangrango, Java",,,,,2009-2010,-6.46,,550,3746.4,,,,219.75,,,,1,2,8,1048,62,45,32,16,,,80.3,17,1.25,1.4,1.4,,,,,,,,,,,,,,
Fithriyani 2002 (Kanopi); Ario et al. 2011; Jao 2012,,Hylobates,H. moloch,"Bodogol, Gunung Gede Pangrango, Java",,,,,2002,-6.46,,758,3746.4,,,,151.96,,,,1,5,4,,22,17,15,,,,78,22,,,,,,,,,,,,,,,,,
Fithriyani 2002 (Afrika); Ario et al. 2011,,Hylobates,H. moloch,"Bodogol, Gunung Gede Pangrango, Java",,,,,2002,-6.46,,795,3746.4,,,,151.96,,,,1,2,4,,22,17,17,,,,83,17,,,,,,,,,,,,,,,,,
